Date : 2026-05-17 22:48:49
Directory : /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib
Total : 89 files,  3307 codes, 563 comments, 646 blanks, all 4516 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         86 |      3,118 |        563 |        646 |      4,327 |
| JSON     |          3 |        189 |          0 |          0 |        189 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations.dart                             | Dart     |         74 |        124 |         31 |        229 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations_en.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations_es.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/l10n/generated/app_localizations_pt.dart                          | Dart     |         35 |          3 |         18 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/routes/auto_route.dart                                            | Dart     |         19 |          3 |          5 |         27 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/routes/routes_di.dart                                             | Dart     |          5 |          1 |          3 |          9 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/theme/app_colors.dart                                             | Dart     |         16 |         21 |         14 |         51 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/core/theme/app_theme.dart                                              | Dart     |         30 |          4 |          3 |         37 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_objects/crypto_quote_dto.dart                                | Dart     |         44 |         28 |         25 |         97 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_objects/kline_dto.dart                                       | Dart     |         41 |         18 |         12 |         71 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_objects/preferences_dao.dart                                 | Dart     |         19 |          9 |          4 |         32 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/crypto_quotes_datasource.dart                        | Dart     |         61 |          5 |          7 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/crypto_quotes_datasource_di.dart                     | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/favorites_datasource.dart                            | Dart     |         41 |         10 |         10 |         61 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/favorites_datasource_di.dart                         | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/kline_datasource.dart                                | Dart     |         46 |          5 |          5 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/kline_datasource_di.dart                             | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/preferences_datasource.dart                          | Dart     |         78 |          7 |         14 |         99 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/data_sources/preferences_datasource_di.dart                       | Dart     |          7 |          1 |          3 |         11 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/crypto_quotes_repository_impl.dart              | Dart     |         45 |          6 |          7 |         58 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/crypto_quotes_repository_impl_di.dart           | Dart     |         10 |          2 |          3 |         15 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/favorites_repository_impl.dart                  | Dart     |         40 |          7 |          9 |         56 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/favorites_repository_impl_di.dart               | Dart     |          8 |          1 |          3 |         12 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/kline_repository_impl.dart                      | Dart     |         26 |          4 |          5 |         35 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/kline_repository_impl_di.dart                   | Dart     |          8 |          1 |          3 |         12 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/preferences_repository_impl.dart                | Dart     |         27 |          5 |          5 |         37 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/data/repositories_impl/preferences_repository_impl_di.dart             | Dart     |         10 |          1 |          3 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/entities/crypto_quote_entity.dart                               | Dart     |         15 |          3 |          3 |         21 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/entities/favorite_entity.dart                                   | Dart     |          7 |          3 |          3 |         13 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/entities/kline_entity.dart                                      | Dart     |         15 |          3 |          3 |         21 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/entities/preferences_entity.dart                                | Dart     |         12 |          5 |          4 |         21 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/repositories/crypto_quotes_repository_interface.dart            | Dart     |          7 |          4 |          3 |         14 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/repositories/favorites_repository_interface.dart                | Dart     |         12 |          8 |          4 |         24 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/repositories/kline_repository_interface.dart                    | Dart     |         10 |          5 |          2 |         17 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/domain/repositories/preferences_repository_interface.dart              | Dart     |          7 |          7 |          3 |         17 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/api_client_constants.dart                    | Dart     |          5 |          4 |          3 |         12 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/api_client_di.dart                           | Dart     |         36 |          2 |          6 |         44 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/api_client_failure.dart                      | Dart     |         65 |          7 |          7 |         79 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/api_client_interface.dart                    | Dart     |         32 |          7 |          7 |         46 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/dio/dio_impl.dart                            | Dart     |        279 |         11 |         29 |        319 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/dio/dio_interceptor_auth.dart                | Dart     |        115 |         10 |         29 |        154 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/dio/dio_interceptor_fn.dart                  | Dart     |          2 |          2 |          2 |          6 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/dio/dio_interceptor_retry.dart               | Dart     |         93 |          5 |         20 |        118 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/models/api_route.dart                        | Dart     |         10 |          4 |          4 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/api_client/models/http_methods.dart                     | Dart     |          7 |          6 |          5 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/storage/shared_preferences/shared_preferences_impl.dart | Dart     |        199 |          8 |         20 |        227 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/storage/storage_di.dart                                 | Dart     |          7 |          3 |          3 |         13 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/storage/storage_failure.dart                            | Dart     |         20 |          4 |          8 |         32 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/infrastructure/storage/storage_interface.dart                          | Dart     |         39 |         19 |         15 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/main.dart                                                              | Dart     |         57 |          6 |         10 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/crypto_quote/crypto_quote_notifier.dart         | Dart     |         25 |          3 |          6 |         34 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/crypto_quote/crypto_quote_state.dart            | Dart     |         13 |          2 |          3 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/favorites/favorites_notifier.dart               | Dart     |         43 |          8 |         10 |         61 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/favorites/favorites_state.dart                  | Dart     |         13 |          2 |          3 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/klines/kline_notifier.dart                      | Dart     |         36 |          5 |         10 |         51 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/klines/kline_state.dart                         | Dart     |         12 |          2 |          3 |         17 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/preferences/preferences_notifier.dart           | Dart     |         59 |          6 |         13 |         78 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/providers/preferences/preferences_state.dart              | Dart     |         13 |          2 |          3 |         18 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/detail/detail_screen.dart                         | Dart     |        270 |         11 |         22 |        303 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/home_screen.dart                             | Dart     |         54 |          3 |          4 |         61 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/tabs/favorites_tab.dart                      | Dart     |         51 |          4 |          8 |         63 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/tabs/quotes_tab.dart                         | Dart     |         60 |          4 |          9 |         73 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/widgets/drawer_widget.dart                   | Dart     |         35 |          2 |          3 |         40 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/widgets/kline_chart_widget.dart              | Dart     |        174 |          7 |         16 |        197 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/widgets/quote_list.dart                      | Dart     |         19 |          5 |          5 |         29 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/home/widgets/quote_list_tile.dart                 | Dart     |         60 |          6 |          6 |         72 |
| /Users/thf/Work/Flutter_Apps/tcc/flutter_clean_arch_riverpod/lib/presentation/screens/preferences/preferences_screen.dart               | Dart     |        121 |          3 |         14 |        138 |
| Total                                                                                                                                   |          |      3,307 |        563 |        646 |      4,516 |
+-----------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
